genre_ids,id,title,original_language,popularity,release_date,vote_average,vote_count,release_year,decade,genre
53,710295,Wolf Man,en,6.7951,2025-01-15,6.16,1020,2025.0,2020,Thriller
35,11529,Sweet Home Alabama,en,6.7948,2002-09-26,6.429,1747,2002.0,2000,Comedy
10749,11529,Sweet Home Alabama,en,6.7948,2002-09-26,6.429,1747,2002.0,2000,Romance
10402,525,The Blues Brothers,en,6.7948,1980-06-16,7.714,4603,1980.0,1980,Music
35,525,The Blues Brothers,en,6.7948,1980-06-16,7.714,4603,1980.0,1980,Comedy
80,525,The Blues Brothers,en,6.7948,1980-06-16,7.714,4603,1980.0,1980,Crime
16,343560,My Family,ru,6.7926,1989-06-07,7.0,2,1989.0,1980,Animation
35,343560,My Family,ru,6.7926,1989-06-07,7.0,2,1989.0,1980,Comedy
18,16103,The Loneliness of the Long Distance Runner,en,6.7872,1962-09-20,7.186,172,1962.0,1960,Drama
35,13161,Big Stan,en,6.7866,2007-11-03,6.638,1073,2007.0,2000,Comedy
80,13161,Big Stan,en,6.7866,2007-11-03,6.638,1073,2007.0,2000,Crime
35,131186,Europa Camping,hu,6.779,1992-03-13,9.0,1,1992.0,1990,Comedy
878,461130,Code 8,en,6.7778,2019-12-06,6.263,2192,2019.0,2010,Science Fiction
28,461130,Code 8,en,6.7778,2019-12-06,6.263,2192,2019.0,2010,Action
80,461130,Code 8,en,6.7778,2019-12-06,6.263,2192,2019.0,2010,Crime
18,1010420,Intensive Care,ru,6.7773,2023-03-02,5.667,3,2023.0,2020,Drama
18,47333,Jane Eyre,en,6.7758,1996-01-20,6.9,247,1996.0,1990,Drama
10749,47333,Jane Eyre,en,6.7758,1996-01-20,6.9,247,1996.0,1990,Romance
18,660120,The Worst Person in the World,no,6.7749,2021-10-13,7.427,1893,2021.0,2020,Drama
10749,660120,The Worst Person in the World,no,6.7749,2021-10-13,7.427,1893,2021.0,2020,Romance
35,660120,The Worst Person in the World,no,6.7749,2021-10-13,7.427,1893,2021.0,2020,Comedy
35,376659,Bad Moms,en,6.7748,2016-07-28,6.484,4286,2016.0,2010,Comedy
18,5723,Once,en,6.7747,2007-03-23,7.429,1474,2007.0,2000,Drama
10402,5723,Once,en,6.7747,2007-03-23,7.429,1474,2007.0,2000,Music
10749,5723,Once,en,6.7747,2007-03-23,7.429,1474,2007.0,2000,Romance
12,11430,The Lion King 1½,en,6.7733,2004-10-28,6.586,3180,2004.0,2000,Adventure
16,11430,The Lion King 1½,en,6.7733,2004-10-28,6.586,3180,2004.0,2000,Animation
35,11430,The Lion King 1½,en,6.7733,2004-10-28,6.586,3180,2004.0,2000,Comedy
10751,11430,The Lion King 1½,en,6.7733,2004-10-28,6.586,3180,2004.0,2000,Family
35,533914,"The Packet of ""Kazbek""",az,6.7725,1958-01-01,7.5,2,1958.0,1950,Comedy
27,11838,Ju-on: The Grudge,ja,6.7719,2002-10-18,6.763,974,2002.0,2000,Horror
28,678512,Sound of Freedom,en,6.7017,2023-07-03,7.954,2790,2023.0,2020,Action
18,678512,Sound of Freedom,en,6.7017,2023-07-03,7.954,2790,2023.0,2020,Drama
27,864370,Incantation,zh,6.6907,2022-03-18,6.841,847,2022.0,2020,Horror
10749,795,City of Angels,en,7.2536,1998-04-10,6.817,2390,1998.0,1990,Romance
18,795,City of Angels,en,7.2536,1998-04-10,6.817,2390,1998.0,1990,Drama
14,795,City of Angels,en,7.2536,1998-04-10,6.817,2390,1998.0,1990,Fantasy
27,1576,Resident Evil,en,7.2935,2002-03-15,6.668,7029,2002.0,2000,Horror
28,1576,Resident Evil,en,7.2935,2002-03-15,6.668,7029,2002.0,2000,Action
878,1576,Resident Evil,en,7.2935,2002-03-15,6.668,7029,2002.0,2000,Science Fiction
35,1601797,¿Quieres ser mi novia?,es,7.2033,2026-02-12,8.676,185,2026.0,2020,Comedy
10749,1601797,¿Quieres ser mi novia?,es,7.2033,2026-02-12,8.676,185,2026.0,2020,Romance
37,648878,Eddington,en,6.6991,2025-07-16,6.46,870,2025.0,2020,Western
35,648878,Eddington,en,6.6991,2025-07-16,6.46,870,2025.0,2020,Comedy
80,648878,Eddington,en,6.6991,2025-07-16,6.46,870,2025.0,2020,Crime
10751,448119,Dolittle,en,7.3901,2020-01-02,6.576,3919,2020.0,2020,Family
35,448119,Dolittle,en,7.3901,2020-01-02,6.576,3919,2020.0,2020,Comedy
14,448119,Dolittle,en,7.3901,2020-01-02,6.576,3919,2020.0,2020,Fantasy
12,448119,Dolittle,en,7.3901,2020-01-02,6.576,3919,2020.0,2020,Adventure
35,1083420,Adulthood,en,6.3852,2025-09-19,5.975,99,2025.0,2020,Comedy
80,1083420,Adulthood,en,6.3852,2025-09-19,5.975,99,2025.0,2020,Crime
9648,1083420,Adulthood,en,6.3852,2025-09-19,5.975,99,2025.0,2020,Mystery
27,23437,A Nightmare on Elm Street,en,6.3494,2010-04-30,5.5,2945,2010.0,2010,Horror
9648,23437,A Nightmare on Elm Street,en,6.3494,2010-04-30,5.5,2945,2010.0,2010,Mystery
53,23437,A Nightmare on Elm Street,en,6.3494,2010-04-30,5.5,2945,2010.0,2010,Thriller
18,42006,Red Sorghum,zh,6.7562,1988-10-10,7.15,247,1988.0,1980,Drama
10749,42006,Red Sorghum,zh,6.7562,1988-10-10,7.15,247,1988.0,1980,Romance
36,42006,Red Sorghum,zh,6.7562,1988-10-10,7.15,247,1988.0,1980,History
18,1278101,Big World,zh,6.1226,2024-12-27,8.408,103,2024.0,2020,Drama
10751,1278101,Big World,zh,6.1226,2024-12-27,8.408,103,2024.0,2020,Family
80,499932,The Devil All the Time,en,6.6688,2020-09-11,7.176,3702,2020.0,2020,Crime
18,499932,The Devil All the Time,en,6.6688,2020-09-11,7.176,3702,2020.0,2020,Drama
53,499932,The Devil All the Time,en,6.6688,2020-09-11,7.176,3702,2020.0,2020,Thriller
27,338967,Zombieland: Double Tap,en,6.9306,2019-10-09,6.894,6344,2019.0,2010,Horror
35,338967,Zombieland: Double Tap,en,6.9306,2019-10-09,6.894,6344,2019.0,2010,Comedy
18,518244,Scandalous Sex,en,6.3492,2004-01-01,6.9,103,2004.0,2000,Drama
18,1923,Twin Peaks: Fire Walk with Me,en,6.5812,1992-06-03,7.4,2298,1992.0,1990,Drama
9648,1923,Twin Peaks: Fire Walk with Me,en,6.5812,1992-06-03,7.4,2298,1992.0,1990,Mystery
27,1923,Twin Peaks: Fire Walk with Me,en,6.5812,1992-06-03,7.4,2298,1992.0,1990,Horror
12,707,A View to a Kill,en,6.4504,1985-05-24,6.255,2232,1985.0,1980,Adventure
28,707,A View to a Kill,en,6.4504,1985-05-24,6.255,2232,1985.0,1980,Action
53,707,A View to a Kill,en,6.4504,1985-05-24,6.255,2232,1985.0,1980,Thriller
28,897087,Freelance,en,6.7362,2023-10-05,6.395,1188,2023.0,2020,Action
35,897087,Freelance,en,6.7362,2023-10-05,6.395,1188,2023.0,2020,Comedy
878,1032892,In the Blink of an Eye,en,6.633,2026-01-26,5.745,141,2026.0,2020,Science Fiction
18,1032892,In the Blink of an Eye,en,6.633,2026-01-26,5.745,141,2026.0,2020,Drama
99,1360610,The Menendez Brothers,en,6.5164,2024-10-07,7.281,169,2024.0,2020,Documentary
28,681,Diamonds Are Forever,en,6.3334,1971-12-14,6.407,2408,1971.0,1970,Action
53,681,Diamonds Are Forever,en,6.3334,1971-12-14,6.407,2408,1971.0,1970,Thriller
18,504949,The King,en,6.7514,2019-10-11,7.156,3600,2019.0,2010,Drama
36,504949,The King,en,6.7514,2019-10-11,7.156,3600,2019.0,2010,History
10752,504949,The King,en,6.7514,2019-10-11,7.156,3600,2019.0,2010,War
28,136797,Need for Speed,en,6.5523,2014-03-12,6.4,4751,2014.0,2010,Action
80,136797,Need for Speed,en,6.5523,2014-03-12,6.4,4751,2014.0,2010,Crime
18,136797,Need for Speed,en,6.5523,2014-03-12,6.4,4751,2014.0,2010,Drama
53,136797,Need for Speed,en,6.5523,2014-03-12,6.4,4751,2014.0,2010,Thriller
18,111190,Adoration,en,6.2965,2013-04-03,6.1,1041,2013.0,2010,Drama
10749,1312946,The Map That Leads to You,en,6.4778,2025-08-19,6.626,333,2025.0,2020,Romance
18,1312946,The Map That Leads to You,en,6.4778,2025-08-19,6.626,333,2025.0,2020,Drama
27,167032,Curse of Chucky,en,5.184,2013-10-08,5.957,1726,2013.0,2010,Horror
53,167032,Curse of Chucky,en,5.184,2013-10-08,5.957,1726,2013.0,2010,Thriller
36,1165369,De Gaulle: Liberté,fr,6.7335,2026-06-26,7.796,140,2026.0,2020,History
18,1165369,De Gaulle: Liberté,fr,6.7335,2026-06-26,7.796,140,2026.0,2020,Drama
35,43593,Piranha 3D,en,6.7324,2010-08-20,5.427,2425,2010.0,2010,Comedy
27,43593,Piranha 3D,en,6.7324,2010-08-20,5.427,2425,2010.0,2010,Horror
12,18360,Night at the Museum: Battle of the Smithsonian,en,6.7288,2009-05-20,6.157,7349,2009.0,2000,Adventure
14,18360,Night at the Museum: Battle of the Smithsonian,en,6.7288,2009-05-20,6.157,7349,2009.0,2000,Fantasy
28,18360,Night at the Museum: Battle of the Smithsonian,en,6.7288,2009-05-20,6.157,7349,2009.0,2000,Action
35,18360,Night at the Museum: Battle of the Smithsonian,en,6.7288,2009-05-20,6.157,7349,2009.0,2000,Comedy
10751,18360,Night at the Museum: Battle of the Smithsonian,en,6.7288,2009-05-20,6.157,7349,2009.0,2000,Family
16,1304434,Nobody,zh,6.7257,2025-08-02,7.854,82,2025.0,2020,Animation
12,1304434,Nobody,zh,6.7257,2025-08-02,7.854,82,2025.0,2020,Adventure
14,1304434,Nobody,zh,6.7257,2025-08-02,7.854,82,2025.0,2020,Fantasy
35,1304434,Nobody,zh,6.7257,2025-08-02,7.854,82,2025.0,2020,Comedy
27,1255,The Host,ko,6.7256,2006-07-27,6.977,3182,2006.0,2000,Horror
18,1255,The Host,ko,6.7256,2006-07-27,6.977,3182,2006.0,2000,Drama
878,1255,The Host,ko,6.7256,2006-07-27,6.977,3182,2006.0,2000,Science Fiction
28,6637,National Treasure: Book of Secrets,en,6.7242,2007-12-19,6.38,5613,2007.0,2000,Action
12,6637,National Treasure: Book of Secrets,en,6.7242,2007-12-19,6.38,5613,2007.0,2000,Adventure
9648,6637,National Treasure: Book of Secrets,en,6.7242,2007-12-19,6.38,5613,2007.0,2000,Mystery
53,1630433,The Red Line,th,6.7185,2026-03-22,6.8,70,2026.0,2020,Thriller
80,1630433,The Red Line,th,6.7185,2026-03-22,6.8,70,2026.0,2020,Crime
18,1630433,The Red Line,th,6.7185,2026-03-22,6.8,70,2026.0,2020,Drama
12,14869,G.I. Joe: The Rise of Cobra,en,6.7162,2009-08-03,5.787,4963,2009.0,2000,Adventure
28,14869,G.I. Joe: The Rise of Cobra,en,6.7162,2009-08-03,5.787,4963,2009.0,2000,Action
53,14869,G.I. Joe: The Rise of Cobra,en,6.7162,2009-08-03,5.787,4963,2009.0,2000,Thriller
878,14869,G.I. Joe: The Rise of Cobra,en,6.7162,2009-08-03,5.787,4963,2009.0,2000,Science Fiction
53,1401778,Turbulence,en,6.7155,2025-11-26,6.559,152,2025.0,2020,Thriller
28,1401778,Turbulence,en,6.7155,2025-11-26,6.559,152,2025.0,2020,Action
12,1401778,Turbulence,en,6.7155,2025-11-26,6.559,152,2025.0,2020,Adventure
18,1401778,Turbulence,en,6.7155,2025-11-26,6.559,152,2025.0,2020,Drama
14,1401778,Turbulence,en,6.7155,2025-11-26,6.559,152,2025.0,2020,Fantasy
27,501170,Doctor Sleep,en,6.7147,2019-10-30,7.145,4960,2019.0,2010,Horror
14,501170,Doctor Sleep,en,6.7147,2019-10-30,7.145,4960,2019.0,2010,Fantasy
28,1106289,The Pickup,en,6.7144,2025-07-27,6.38,495,2025.0,2020,Action
35,1106289,The Pickup,en,6.7144,2025-07-27,6.38,495,2025.0,2020,Comedy
80,1106289,The Pickup,en,6.7144,2025-07-27,6.38,495,2025.0,2020,Crime
16,550205,Wish Dragon,en,6.714,2021-01-15,7.841,1520,2021.0,2020,Animation
10751,550205,Wish Dragon,en,6.714,2021-01-15,7.841,1520,2021.0,2020,Family
35,550205,Wish Dragon,en,6.714,2021-01-15,7.841,1520,2021.0,2020,Comedy
14,550205,Wish Dragon,en,6.714,2021-01-15,7.841,1520,2021.0,2020,Fantasy
10749,550205,Wish Dragon,en,6.714,2021-01-15,7.841,1520,2021.0,2020,Romance
12,550205,Wish Dragon,en,6.714,2021-01-15,7.841,1520,2021.0,2020,Adventure
35,9522,Wedding Crashers,en,6.7125,2005-07-13,6.501,4764,2005.0,2000,Comedy
10749,9522,Wedding Crashers,en,6.7125,2005-07-13,6.501,4764,2005.0,2000,Romance
878,193,Star Trek: Generations,en,6.7117,1994-11-18,6.515,1513,1994.0,1990,Science Fiction
28,193,Star Trek: Generations,en,6.7117,1994-11-18,6.515,1513,1994.0,1990,Action
12,193,Star Trek: Generations,en,6.7117,1994-11-18,6.515,1513,1994.0,1990,Adventure
53,193,Star Trek: Generations,en,6.7117,1994-11-18,6.515,1513,1994.0,1990,Thriller
28,8393,The Gods Must Be Crazy,en,6.7116,1980-09-10,7.272,1334,1980.0,1980,Action
35,8393,The Gods Must Be Crazy,en,6.7116,1980-09-10,7.272,1334,1980.0,1980,Comedy
53,9437,Kiss the Girls,en,6.7095,1997-09-29,6.539,1925,1997.0,1990,Thriller
80,9437,Kiss the Girls,en,6.7095,1997-09-29,6.539,1925,1997.0,1990,Crime
9648,9437,Kiss the Girls,en,6.7095,1997-09-29,6.539,1925,1997.0,1990,Mystery
18,9437,Kiss the Girls,en,6.7095,1997-09-29,6.539,1925,1997.0,1990,Drama
53,1699820,Vibeland Chronicles,en,6.7092,2026-01-02,4.0,1,2026.0,2020,Thriller
28,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,en,6.7088,2016-05-30,6.061,3839,2016.0,2010,Action
12,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,en,6.7088,2016-05-30,6.061,3839,2016.0,2010,Adventure
35,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,en,6.7088,2016-05-30,6.061,3839,2016.0,2010,Comedy
10751,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,en,6.7088,2016-05-30,6.061,3839,2016.0,2010,Family
878,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,en,6.7088,2016-05-30,6.061,3839,2016.0,2010,Science Fiction
28,324544,In the Lost Lands,en,6.7076,2025-02-27,6.367,844,2025.0,2020,Action
14,324544,In the Lost Lands,en,6.7076,2025-02-27,6.367,844,2025.0,2020,Fantasy
37,324544,In the Lost Lands,en,6.7076,2025-02-27,6.367,844,2025.0,2020,Western
35,15196,Clue,en,6.7074,1985-12-13,7.208,1995,1985.0,1980,Comedy
